size,sample,time_dot,time_matrix_vector
800,1,0.000322445,0.000104369
800,2,0.000256236,0.000278618
800,3,0.000302507,0.000218102
800,4,0.000213551,0.000101791
800,5,0.00027267,0.000100237
800,6,0.000309247,0.000103335
800,7,0.000209001,9.8491e-5
800,8,0.000225579,9.9369e-5
800,9,0.000270461,0.000103254
800,10,0.00023471,0.000101861
900,1,0.000310519,0.000139781
900,2,0.000492689,0.000151102
900,3,0.00037889,0.000127107
900,4,0.000449583,0.000134998
900,5,0.000293093,0.000126492
900,6,0.00032182,0.000132577
900,7,0.000439311,0.000127834
900,8,0.000303809,0.00011509
900,9,0.000444598,0.000131053
900,10,0.000316956,0.00012287
1000,1,0.000380031,0.000159104
1000,2,0.000529811,0.000181201
1000,3,0.000433409,0.000168165
1000,4,0.000475394,0.000166793
1000,5,0.000485071,0.000163715
1000,6,0.000561242,0.000197094
1000,7,0.000421694,0.000156268
1000,8,0.000413611,0.000160971
1000,9,0.000496413,0.000174613
1000,10,0.00037884,0.000156047
1100,1,0.000548993,0.000191262
1100,2,0.000626648,0.000200807
1100,3,0.000556994,0.000184824
1100,4,0.00048721,0.000179789
1100,5,0.000578084,0.000177468
1100,6,0.000542546,0.000178941
1100,7,0.000611815,0.000191574
1100,8,0.000599525,0.000208244
1100,9,0.000640017,0.000221785
1100,10,0.000515604,0.000179304
1200,1,0.000711295,0.000225186
1200,2,0.000733645,0.000213712
1200,3,0.000783784,0.000267726
1200,4,0.000915522,0.000319479
1200,5,0.000783421,0.000252873
1200,6,0.00080124,0.000266182
1200,7,0.0006683,0.000320014
1200,8,0.000696149,0.000244144
1200,9,0.000821068,0.00039115
1200,10,0.000612451,0.000218183
1300,1,0.000866141,0.000281358
1300,2,0.000770999,0.000290469
1300,3,0.000772392,0.00028834
1300,4,0.000828675,0.000294727
1300,5,0.000771514,0.000277453
1300,6,0.001055485,0.00041901
1300,7,0.000779425,0.000281328
1300,8,0.000789969,0.000270783
1300,9,0.000869622,0.000295605
1300,10,0.000767054,0.000228848
1400,1,0.001020562,0.000340234
1400,2,0.001149083,0.000467554
1400,3,0.000954834,0.000330941
1400,4,0.001015064,0.000481196
1400,5,0.000988607,0.000311114
1400,6,0.001119468,0.000455426
1400,7,0.000951384,0.000433832
1400,8,0.000980736,0.000317623
1400,9,0.00091747,0.000356682
1400,10,0.000987032,0.000353614
1500,1,0.00114211,0.000428818
1500,2,0.001154048,0.000569759
1500,3,0.001218585,0.000459109
1500,4,0.001019281,0.000427768
1500,5,0.00102024,0.000445214
1500,6,0.001151524,0.000437313
1500,7,0.001023933,0.000417163
1500,8,0.001281972,0.000548226
1500,9,0.001152766,0.000403783
1500,10,0.001311224,0.000496241
1600,1,0.001270842,0.000493315
1600,2,0.00141024,0.000709317
1600,3,0.001138568,0.00053303
1600,4,0.001197668,0.000507481
1600,5,0.001339517,0.0005755
1600,6,0.001152261,0.00051627
1600,7,0.001507702,0.000559547
1600,8,0.00125946,0.000465011
1600,9,0.001221017,0.000522415
1600,10,0.001294151,0.000462711
1700,1,0.001215971,0.000609747
1700,2,0.001522,0.00069396
1700,3,0.001295846,0.000601816
1700,4,0.001241581,0.000599656
1700,5,0.001461186,0.000630714
1700,6,0.001282578,0.000603652
1700,7,0.001387658,0.000628434
1700,8,0.001676381,0.000756267
1700,9,0.001389494,0.00057889
1700,10,0.001414044,0.000608344
1800,1,0.001711485,0.000769909
1800,2,0.001408212,0.000708691
1800,3,0.001706168,0.000695423
1800,4,0.001466241,0.000708268
1800,5,0.00149083,0.000733049
1800,6,0.001682941,0.000763452
1800,7,0.001483223,0.000697774
1800,8,0.001642488,0.000708127
1800,9,0.001679338,0.000748993
1800,10,0.001798353,0.000705281
1900,1,0.00198133,0.001016638
1900,2,0.001601996,0.000796425
1900,3,0.001737608,0.000885944
1900,4,0.001649669,0.000819977
1900,5,0.001679982,0.000855733
1900,6,0.001796759,0.000908725
1900,7,0.001884204,0.000908381
1900,8,0.001799688,0.00077249
1900,9,0.001812501,0.000785293
1900,10,0.001846509,0.000809981
2000,1,0.001714162,0.000874151
2000,2,0.001783855,0.000877867
2000,3,0.001924119,0.001107887
2000,4,0.001690514,0.000828934
2000,5,0.001928239,0.000788534
2000,6,0.001896775,0.000929727
2000,7,0.002039442,0.000948004
2000,8,0.001990066,0.000957495
2000,9,0.001914335,0.00091544
2000,10,0.001937609,0.000827884
2100,1,0.001916586,0.001027966
2100,2,0.001676468,0.001004298
2100,3,0.001956239,0.001069396
2100,4,0.001822639,0.001117157
2100,5,0.001665018,0.001006075
2100,6,0.001820629,0.001148408
2100,7,0.001742273,0.001094963
2100,8,0.001737396,0.000987697
2100,9,0.001729278,0.001167836
2100,10,0.001702752,0.001143815
2200,1,0.002066545,0.001091045
2200,2,0.001819883,0.00111231
2200,3,0.001846772,0.001101022
2200,4,0.001997831,0.00135254
2200,5,0.002048509,0.001059763
2200,6,0.002179242,0.001159405
2200,7,0.002239919,0.001076838
2200,8,0.002048328,0.001037609
2200,9,0.001724482,0.001129264
2200,10,0.002323577,0.001140371
2300,1,0.002233224,0.001147702
2300,2,0.00259525,0.001156022
2300,3,0.002195964,0.00112362
2300,4,0.002206112,0.001133071
2300,5,0.002415776,0.001151057
2300,6,0.002362189,0.001287936
2300,7,0.002489135,0.001152135
2300,8,0.00208573,0.001213205
2300,9,0.001999325,0.001229845
2300,10,0.002054396,0.001130021
2400,1,0.002233708,0.001184114
2400,2,0.002387186,0.001252922
2400,3,0.002779334,0.00124986
2400,4,0.002560234,0.001449876
2400,5,0.002515201,0.001230128
2400,6,0.002894064,0.001213194
2400,7,0.002293857,0.001201382
2400,8,0.002294271,0.001188581
2400,9,0.002594374,0.001185267
2400,10,0.002296353,0.001336602
2500,1,0.002126174,0.001337885
2500,2,0.002423771,0.001395275
2500,3,0.002293585,0.001386212
2500,4,0.002430308,0.001358224
2500,5,0.00252966,0.001360741
2500,6,0.002225878,0.001363943
2500,7,0.002491033,0.001446905
2500,8,0.002320672,0.001365338
2500,9,0.002319742,0.001354243
2500,10,0.002618967,0.001445572
2600,1,0.002465157,0.001625692
2600,2,0.002472451,0.001635897
2600,3,0.002410677,0.001624965
2600,4,0.002429774,0.001572708
2600,5,0.002701657,0.001552015
2600,6,0.002420053,0.001587995
2600,7,0.002524163,0.001460353
2600,8,0.002627495,0.001520208
2600,9,0.00255599,0.001742028
2600,10,0.002435038,0.001754041
2700,1,0.002747901,0.001808541
2700,2,0.002932256,0.001814442
2700,3,0.002661514,0.001859746
2700,4,0.002793682,0.001792011
2700,5,0.002730558,0.001673487
2700,6,0.002968107,0.001657513
2700,7,0.003202956,0.001793848
2700,8,0.003115117,0.001632201
2700,9,0.003046538,0.00177824
2700,10,0.003193282,0.001882356
2800,1,0.00343543,0.001756687
2800,2,0.003066219,0.002051572
2800,3,0.003075872,0.001800126
2800,4,0.002860069,0.001720859
2800,5,0.002911495,0.001711761
2800,6,0.002919512,0.001835843
2800,7,0.002946696,0.001880179
2800,8,0.003048446,0.001755696
2800,9,0.00310801,0.001927827
2800,10,0.003099467,0.001830636
2900,1,0.003187853,0.00187899
2900,2,0.003371934,0.001969418
2900,3,0.003095525,0.001999765
2900,4,0.003253604,0.001875421
2900,5,0.003467467,0.001908893
2900,6,0.003288959,0.002082261
2900,7,0.003141718,0.001875255
2900,8,0.003497119,0.001910866
2900,9,0.003551512,0.002347605
2900,10,0.003464864,0.001874586
3000,1,0.003619712,0.001984143
3000,2,0.003498282,0.002063884
3000,3,0.003230773,0.00215488
3000,4,0.003394379,0.002050795
3000,5,0.003228871,0.001805962
3000,6,0.003820913,0.002022961
3000,7,0.004029021,0.001897374
3000,8,0.003745886,0.001878106
3000,9,0.003722189,0.001962327
3000,10,0.003519825,0.002232577
